GroupId,Value,Year
10,0.225,2018
10,0.149984,2019
10,0.112279,2020
10,0.056562,2021
10,0.026125,2022
10,0,2023
10,0,2024
10,0,2025
10,0,2026
10,0,2027
10,0,2028
10,0,2029
10,0,2030
10,0,2031
10,0,2032
10,0,2033
10,0,2034
10,0,2035
10,0,2036
10,0,2037
10,0,2038
10,0,2039
10,0,2040
10,0,2041
10,0,2042
10,0,2043
10,0,2044
10,0,2045
109,0.4,2018
109,0.314382,2019
109,0.271349,2020
109,0.207757,2021
109,0.173018,2022
109,0.100203,2023
109,0.005463,2024
109,0,2025
109,0,2026
109,0,2027
109,0,2028
109,0,2029
109,0,2030
109,0,2031
109,0,2032
109,0,2033
109,0,2034
109,0,2035
109,0,2036
109,0,2037
109,0,2038
109,0,2039
109,0,2040
109,0,2041
109,0,2042
109,0,2043
109,0,2044
109,0,2045
112,0.75,2018
112,0.687132,2019
112,0.655533,2020
112,0.608838,2021
112,0.58333,2022
112,0.529863,2023
112,0.460296,2024
112,0.381412,2025
112,0.286869,2026
112,0.170293,2027
112,0.018459,2028
112,0,2029
112,0,2030
112,0,2031
112,0,2032
112,0,2033
112,0,2034
112,0,2035
112,0,2036
112,0,2037
112,0,2038
112,0,2039
112,0,2040
112,0,2041
112,0,2042
112,0,2043
112,0,2044
112,0,2045
134,0.225,2018
134,0.159567,2019
134,0.126679,2020
134,0.07808,2021
134,0.051531,2022
134,0,2023
134,0,2024
134,0,2025
134,0,2026
134,0,2027
134,0,2028
134,0,2029
134,0,2030
134,0,2031
134,0,2032
134,0,2033
134,0,2034
134,0,2035
134,0,2036
134,0,2037
134,0,2038
134,0,2039
134,0,2040
134,0,2041
134,0,2042
134,0,2043
134,0,2044
134,0,2045
151,0.4,2018
151,0.35509,2019
151,0.332517,2020
151,0.299161,2021
151,0.280938,2022
151,0.242744,2023
151,0.193049,2024
151,0.136698,2025
151,0.069161,2026
151,0,2027
151,0,2028
151,0,2029
151,0,2030
151,0,2031
151,0,2032
151,0,2033
151,0,2034
151,0,2035
151,0,2036
151,0,2037
151,0,2038
151,0,2039
151,0,2040
151,0,2041
151,0,2042
151,0,2043
151,0,2044
151,0,2045
153,0.4,2018
153,0.330641,2019
153,0.295781,2020
153,0.244266,2021
153,0.216124,2022
153,0.157138,2023
153,0.08039,2024
153,0,2025
153,0,2026
153,0,2027
153,0,2028
153,0,2029
153,0,2030
153,0,2031
153,0,2032
153,0,2033
153,0,2034
153,0,2035
153,0,2036
153,0,2037
153,0,2038
153,0,2039
153,0,2040
153,0,2041
153,0,2042
153,0,2043
153,0,2044
153,0,2045
141,0.75,2018
141,0.644149,2019
141,0.590947,2020
141,0.512327,2021
141,0.469379,2022
141,0.379357,2023
141,0.262228,2024
141,0.129412,2025
141,0,2026
141,0,2027
141,0,2028
141,0,2029
141,0,2030
141,0,2031
141,0,2032
141,0,2033
141,0,2034
141,0,2035
141,0,2036
141,0,2037
141,0,2038
141,0,2039
141,0,2040
141,0,2041
141,0,2042
141,0,2043
141,0,2044
141,0,2045
130,0.75,2018
130,0.652067,2019
130,0.602844,2020
130,0.530106,2021
130,0.49037,2022
130,0.407082,2023
130,0.298714,2024
130,0.175832,2025
130,0.028558,2026
130,0,2027
130,0,2028
130,0,2029
130,0,2030
130,0,2031
130,0,2032
130,0,2033
130,0,2034
130,0,2035
130,0,2036
130,0,2037
130,0,2038
130,0,2039
130,0,2040
130,0,2041
130,0,2042
130,0,2043
130,0,2044
130,0,2045
142,0.75,2018
142,0.448459,2019
142,0.296901,2020
142,0.072935,2021
