year,technology,value,scenario
2018,Bio,436982.66,e3genmod
2019,Bio,454877.01,e3genmod
2020,Bio,436843.71,e3genmod
2021,Bio,452738.59,e3genmod
2022,Bio,463968.83,e3genmod
2023,Bio,460930.8,e3genmod
2024,Bio,462952.76,e3genmod
2025,Bio,478636.13,e3genmod
2026,Bio,466964,e3genmod
2027,Bio,467239.42,e3genmod
2028,Bio,458240.17,e3genmod
2029,Bio,455789.06,e3genmod
2030,Bio,456938.99,e3genmod
2031,Bio,456367.9,e3genmod
2032,Bio,456733.05,e3genmod
2033,Bio,455170.16,e3genmod
2034,Bio,454268.7,e3genmod
2035,Bio,455126.63,e3genmod
2036,Bio,456967.34,e3genmod
2037,Bio,454727.35,e3genmod
2038,Bio,454517.32,e3genmod
2039,Bio,453547.53,e3genmod
2040,Bio,444468.75,e3genmod
2041,Bio,440309.07,e3genmod
2042,Bio,438805.44,e3genmod
2043,Bio,438412.59,e3genmod
2044,Bio,437883.65,e3genmod
2045,Bio,743466,e3genmod
2016,DER,688576.11,e3genmod
2017,DER,810304.55,e3genmod
2018,DER,876663.9,e3genmod
2019,DER,950109.15,e3genmod
2020,DER,1018121.75,e3genmod
2021,DER,1105014.34,e3genmod
2022,DER,1150154.56,e3genmod
2023,DER,1235791.53,e3genmod
2024,DER,1339005.41,e3genmod
2025,DER,1434900.73,e3genmod
2026,DER,1534460.73,e3genmod
2027,DER,1634010.16,e3genmod
2028,DER,1738341.13,e3genmod
2029,DER,1833110.59,e3genmod
2030,DER,1932686.1,e3genmod
2031,DER,2032236.2,e3genmod
2032,DER,2137687.08,e3genmod
2033,DER,2231334.66,e3genmod
2034,DER,2330895.78,e3genmod
2035,DER,2430445.43,e3genmod
2036,DER,2537025.97,e3genmod
2037,DER,2629575.04,e3genmod
2038,DER,2729123.82,e3genmod
2039,DER,2828679.48,e3genmod
2040,DER,2936299.35,e3genmod
2041,DER,3027789.61,e3genmod
2042,DER,3127339.96,e3genmod
2043,DER,3226897.35,e3genmod
2044,DER,3335649.25,e3genmod
2045,DER,3425483.31,e3genmod
2016,Fossil,6277692.96,e3genmod
2017,Fossil,6191463.05,e3genmod
2018,Fossil,5878387.08,e3genmod
2019,Fossil,5847202.54,e3genmod
2020,Fossil,5418847.56,e3genmod
