technology,year,scenario,value
Bio,2017,e3genmod,188.65
Bio,2018,e3genmod,100.92
Bio,2019,e3genmod,100.92
Bio,2020,e3genmod,100.92
Bio,2021,e3genmod,100.92
Bio,2022,e3genmod,100.92
Bio,2023,e3genmod,100.92
Bio,2024,e3genmod,100.92
Bio,2025,e3genmod,100.92
Bio,2026,e3genmod,100.92
Bio,2027,e3genmod,100.92
Bio,2028,e3genmod,100.92
Bio,2029,e3genmod,100.92
Bio,2030,e3genmod,100.92
Bio,2031,e3genmod,100.92
Bio,2032,e3genmod,100.92
Bio,2033,e3genmod,100.92
Bio,2034,e3genmod,100.92
Bio,2035,e3genmod,100.92
Bio,2036,e3genmod,100.92
Bio,2037,e3genmod,100.92
Bio,2038,e3genmod,100.92
Bio,2039,e3genmod,100.92
Bio,2040,e3genmod,100.92
Bio,2041,e3genmod,100.92
Bio,2042,e3genmod,100.92
Bio,2043,e3genmod,100.92
Bio,2044,e3genmod,100.92
Bio,2045,e3genmod,1325.84
DER,2016,e3genmod,425.36
DER,2017,e3genmod,501.49
DER,2018,e3genmod,542.65
DER,2019,e3genmod,588.19
DER,2020,e3genmod,628.67
DER,2021,e3genmod,684.27
DER,2022,e3genmod,712.27
DER,2023,e3genmod,765.38
DER,2024,e3genmod,827.13
DER,2025,e3genmod,888.87
DER,2026,e3genmod,950.62
DER,2027,e3genmod,1012.37
DER,2028,e3genmod,1074.11
DER,2029,e3genmod,1135.86
DER,2030,e3genmod,1197.61
DER,2031,e3genmod,1259.35
DER,2032,e3genmod,1321.10
DER,2033,e3genmod,1382.84
DER,2034,e3genmod,1444.59
DER,2035,e3genmod,1506.34
DER,2036,e3genmod,1568.08
DER,2037,e3genmod,1629.83
DER,2038,e3genmod,1691.58
DER,2039,e3genmod,1753.32
DER,2040,e3genmod,1815.06
DER,2041,e3genmod,1876.82
DER,2042,e3genmod,1938.56
DER,2043,e3genmod,2000.31
DER,2044,e3genmod,2062.05
DER,2045,e3genmod,2123.80
Fossil,2016,e3genmod,1318.10
Fossil,2017,e3genmod,1327.10
Fossil,2018,e3genmod,1481.52
Fossil,2019,e3genmod,1631.52
Fossil,2020,e3genmod,1631.52
Fossil,2021,e3genmod,1631.52
Fossil,2022,e3genmod,1732.24
Fossil,2023,e3genmod,1504.71
Fossil,2024,e3genmod,1504.71
Fossil,2025,e3genmod,1504.71
Fossil,2026,e3genmod,1547.45
Fossil,2027,e3genmod,1547.45
Fossil,2028,e3genmod,1430.06
Fossil,2029,e3genmod,1430.06
Fossil,2030,e3genmod,1430.06
Fossil,2031,e3genmod,1260.57
Fossil,2032,e3genmod,1562.57
Fossil,2033,e3genmod,1562.57
Fossil,2034,e3genmod,1562.57
Fossil,2035,e3genmod,1398.18
Fossil,2036,e3genmod,1398.18
Fossil,2037,e3genmod,1398.18
Fossil,2038,e3genmod,1398.18
Fossil,2039,e3genmod,1226.72
Fossil,2040,e3genmod,1226.72
Fossil,2041,e3genmod,1226.72
Fossil,2042,e3genmod,1226.72
Fossil,2043,e3genmod,1226.72
