year,technology,value,scenario
2028,Wind,457244.48,e3
2029,Wind,442805.78,e3
2030,Wind,464973.61,e3
2031,Wind,457974.01,e3
2032,Wind,453655.64,e3
2033,Wind,450038.35,e3
2034,Wind,450903.18,e3
2035,Wind,459485.06,e3
2036,Wind,461488.33,e3
2037,Wind,454721.3,e3
2038,Wind,456021.06,e3
2039,Wind,450840.99,e3
2040,Wind,459461.97,e3
2041,Wind,453879.22,e3
2042,Wind,454583.24,e3
2043,Wind,454988.96,e3
2044,Wind,455692.06,e3
2045,Wind,475712.86,e3
2016,Bio,0,postapril
2017,Bio,0,postapril
2018,Bio,0,postapril
2019,Bio,0,postapril
2020,Bio,0,postapril
2021,Bio,0,postapril
2022,Bio,101883.54,postapril
2023,Bio,107116.31,postapril
2024,Bio,106447.15,postapril
2025,Bio,104369.15,postapril
2026,Bio,105019.15,postapril
2027,Bio,101833.82,postapril
2028,Bio,102726.23,postapril
2029,Bio,100526.56,postapril
2030,Bio,87900.67,postapril
2031,Bio,87141.52,postapril
2032,Bio,86472.94,postapril
2033,Bio,87873.04,postapril
2034,Bio,87825.9,postapril
2035,Bio,88291.87,postapril
2036,Bio,88030.24,postapril
2037,Bio,86973.3,postapril
2038,Bio,88607.31,postapril
2039,Bio,88525.2,postapril
2040,Bio,344477.07,postapril
2041,Bio,344608.31,postapril
2042,Bio,350930.55,postapril
2043,Bio,356087.68,postapril
2044,Bio,364570.02,postapril
2045,Bio,369218.22,postapril
2016,DER,159103.9,postapril
2017,DER,188738.28,postapril
2018,DER,194883.16,postapril
2019,DER,205895.28,postapril
2020,DER,216973.91,postapril
2021,DER,222897.62,postapril
2022,DER,233395.52,postapril
2023,DER,248053.53,postapril
2024,DER,268737.25,postapril
2025,DER,287953.32,postapril
2026,DER,307881.06,postapril
2027,DER,327657.12,postapril
2028,DER,348475.16,postapril
2029,DER,366865.95,postapril
2030,DER,385736.41,postapril
2031,DER,405107.64,postapril
2032,DER,425763.36,postapril
2033,DER,444268.35,postapril
2034,DER,463331.23,postapril
2035,DER,482273.62,postapril
2036,DER,502858.32,postapril
2037,DER,524111.86,postapril
2038,DER,543827.04,postapril
2039,DER,562491.82,postapril
2040,DER,578033.31,postapril
2041,DER,595872.46,postapril
2042,DER,613471.09,postapril
2043,DER,631952.77,postapril
2044,DER,650547.47,postapril
2045,DER,666077.59,postapril
2016,Fossil,694837.88,postapril
2017,Fossil,682418,postapril
2018,Fossil,684837.29,postapril
2019,Fossil,687742.46,postapril
2020,Fossil,466750.33,postapril
2021,Fossil,467845.24,postapril
2022,Fossil,330842.96,postapril
2023,Fossil,292566,postapril
2024,Fossil,299915.71,postapril
