year,technology,value,scenario
2027,Wind,387573.36,e3
2028,Wind,390670.27,e3
2029,Wind,377443.9,e3
2030,Wind,417676.34,e3
2031,Wind,413796,e3
2032,Wind,404403.62,e3
2033,Wind,396685.35,e3
2034,Wind,392706.31,e3
2035,Wind,402868.41,e3
2036,Wind,402549.11,e3
2037,Wind,401539.49,e3
2038,Wind,396370.52,e3
2039,Wind,391984.15,e3
2040,Wind,406167.61,e3
2041,Wind,401924.13,e3
2042,Wind,402495.39,e3
2043,Wind,403487.3,e3
2044,Wind,395682.02,e3
2045,Wind,436517.99,e3
2016,Bio,0,postapril
2017,Bio,0,postapril
2018,Bio,0,postapril
2019,Bio,0,postapril
2020,Bio,0,postapril
2021,Bio,0,postapril
2022,Bio,0,postapril
2023,Bio,0,postapril
2024,Bio,0,postapril
2025,Bio,0,postapril
2026,Bio,0,postapril
2027,Bio,87488.47,postapril
2028,Bio,87952.53,postapril
2029,Bio,83699.48,postapril
2030,Bio,66020.67,postapril
2031,Bio,67083.86,postapril
2032,Bio,65823.79,postapril
2033,Bio,65325.17,postapril
2034,Bio,64775.17,postapril
2035,Bio,65527.48,postapril
2036,Bio,67277.91,postapril
2037,Bio,66343.57,postapril
2038,Bio,67401.65,postapril
2039,Bio,68636.29,postapril
2040,Bio,200539.62,postapril
2041,Bio,202364.65,postapril
2042,Bio,205666.81,postapril
2043,Bio,211017.83,postapril
2044,Bio,218229.26,postapril
2045,Bio,220276.53,postapril
2016,DER,134781.63,postapril
2017,DER,160616.51,postapril
2018,DER,172161.68,postapril
2019,DER,178458.15,postapril
2020,DER,184921.11,postapril
2021,DER,190038.81,postapril
2022,DER,208467.69,postapril
2023,DER,228884.4,postapril
2024,DER,248990.22,postapril
2025,DER,265254.91,postapril
2026,DER,282138.55,postapril
2027,DER,296121.52,postapril
2028,DER,310118.14,postapril
2029,DER,321175.4,postapril
2030,DER,326744.59,postapril
2031,DER,340696.02,postapril
2032,DER,353171.6,postapril
2033,DER,365850.46,postapril
2034,DER,380383.23,postapril
2035,DER,395004.36,postapril
2036,DER,411102.57,postapril
2037,DER,425176.62,postapril
2038,DER,440042.4,postapril
2039,DER,455597.68,postapril
2040,DER,472816.84,postapril
2041,DER,486973.95,postapril
2042,DER,502503.33,postapril
2043,DER,518483.84,postapril
2044,DER,536653.14,postapril
2045,DER,550834.58,postapril
2016,Fossil,611287.14,postapril
2017,Fossil,573526.38,postapril
2018,Fossil,555133.76,postapril
2019,Fossil,560798.48,postapril
2020,Fossil,478709.17,postapril
2021,Fossil,479106.76,postapril
2022,Fossil,469536.91,postapril
2023,Fossil,459494.93,postapril
2024,Fossil,446907.26,postapril
2025,Fossil,305065.61,postapril
2026,Fossil,290337.49,postapril
2027,Fossil,197466.28,postapril
2028,Fossil,186897.59,postapril
2029,Fossil,174836.27,postapril
2030,Fossil,97279.77,postapril
2031,Fossil,97163.96,postapril
2032,Fossil,94904.11,postapril
2033,Fossil,98768.12,postapril
2034,Fossil,105868.7,postapril
2035,Fossil,106597.37,postapril
2036,Fossil,109185.37,postapril
2037,Fossil,113331.52,postapril
2038,Fossil,121015.76,postapril
2039,Fossil,125832.33,postapril
2040,Fossil,0,postapril
2041,Fossil,0,postapril
2042,Fossil,0,postapril
2043,Fossil,0,postapril
2044,Fossil,0,postapril
2045,Fossil,0,postapril
2016,Geo,284896.54,postapril
2017,Geo,290494.02,postapril
2018,Geo,295577.53,postapril
2019,Geo,296202.82,postapril
2020,Geo,295270.16,postapril
